src,dst,volume,path_nodes
18553,10380,1.0,"[18553, 11582, 10380]"
16319,10380,42.0,"[16319, 10380]"
16319,10380,70.0,"[16319, 11582, 10380]"
11582,18553,200.0,"[11582, 18553]"
11178,16319,71.0,"[11178, 16319]"
18553,13505,39.0,"[18553, 16319, 13505]"
18655,16319,200.0,"[18655, 16319]"
11582,19555,20.0,"[11582, 10045, 19555]"
18553,11178,2.0,"[18553, 16319, 11178]"
11582,10045,1.0,"[11582, 10045]"
11582,11178,1.0,"[11582, 16319, 11178]"
18553,19555,57.0,"[18553, 10045, 19555]"
18553,16319,47.0,"[18553, 16319]"
18553,11582,15.0,"[18553, 11582]"
16319,19555,1.0,"[16319, 10045, 19555]"
11582,13505,22.0000001,"[11582, 10045, 13505]"
11582,13505,3.9999998999999997,"[11582, 10380, 13505]"
18553,10045,1.0,"[18553, 11582, 10045]"
11582,10380,105.0,"[11582, 10380]"
16319,11178,57.0,"[16319, 11178]"
18553,18655,1.0,"[18553, 10380, 18655]"
13505,16319,62.0,"[13505, 18655, 16319]"
16319,18553,51.0,"[16319, 18553]"
16319,13505,63.0,"[16319, 13505]"
16319,10045,51.0,"[16319, 10045]"
16319,11582,19.0,"[16319, 18553, 11582]"
10045,16319,1.0,"[10045, 16319]"
16319,18655,30.0,"[16319, 10380, 18655]"
