src,dst,volume,path_nodes
16219,15204,1.0,"[16219, 15204]"
10270,18476,287.0,"[10270, 18476]"
11461,16133,300.0,"[11461, 16133]"
10303,14070,122.0,"[10303, 14070]"
15973,15262,1.0,"[15973, 13179, 15262]"
14724,16916,300.0,"[14724, 16916]"
10708,11214,1.0,"[10708, 11214]"
13503,18144,1.0,"[13503, 16219, 18144]"
19311,19171,1.0,"[19311, 14070, 19171]"
10570,17770,1.0,"[10570, 10904, 17770]"
13578,15872,67.0,"[13578, 15872]"
10044,17312,28.0,"[10044, 17312]"
15401,14376,1.0,"[15401, 11472, 14376]"
18863,18446,1.0,"[18863, 16991, 18446]"
11267,13474,1.0,"[11267, 13474]"
12627,18446,1.0,"[12627, 18446]"
18863,10659,261.0,"[18863, 10659]"
17784,11168,69.0,"[17784, 11168]"
11461,18863,1.0,"[11461, 15506, 18863]"
13651,19311,88.0,"[13651, 19311]"
13183,12985,43.0,"[13183, 12985]"
15872,16991,91.0,"[15872, 17822, 16991]"
14076,16219,45.0,"[14076, 16219]"
10570,12280,1.0,"[10570, 12280]"
19311,11568,1.0,"[19311, 11568]"
16991,15973,1.0,"[16991, 15973]"
12663,10270,236.0,"[12663, 10270]"
12214,16916,259.0,"[12214, 16916]"
19921,14444,1.0,"[19921, 16219, 14444]"
18144,18849,300.0,"[18144, 18849]"
15872,16366,168.0,"[15872, 16366]"
10303,13183,300.0,"[10303, 13183]"
16991,14724,300.0,"[16991, 14724]"
19371,16053,1.0,"[19371, 13578, 16053]"
14724,11168,300.0,"[14724, 11168]"
19921,10751,1.0,"[19921, 10751]"
16053,17770,1.0,"[16053, 11168, 17770]"
16053,10178,300.0,"[16053, 10178]"
18144,15204,300.0,"[18144, 15204]"
11461,10327,300.0,"[11461, 10327]"
16053,16366,300.0,"[16053, 16366]"
10044,11168,300.0,"[10044, 11168]"
12627,15401,1.0,"[12627, 19542, 15401]"
18978,12985,300.0,"[18978, 12985]"
14724,18978,1.0,"[14724, 13474, 18978]"
17312,10570,300.0,"[17312, 10570]"
16219,18978,271.0,"[16219, 18978]"
12627,14444,91.0,"[12627, 14724, 14444]"
19956,15973,300.0,"[19956, 15973]"
12573,14005,1.0,"[12573, 14005]"
16991,13578,1.0,"[16991, 13578]"
15973,15206,63.0,"[15973, 15206]"
10303,13578,1.0,"[10303, 13578]"
19469,15872,1.0,"[19469, 15872]"
18863,15262,39.0,"[18863, 15262]"
17784,17312,193.0,"[17784, 17312]"
10044,12952,1.0,"[10044, 19469, 12952]"
10570,19311,300.0,"[10570, 19311]"
11861,16133,1.0,"[11861, 16133]"
15973,18476,1.0,"[15973, 18476]"
10327,10270,211.0,"[10327, 10270]"
17547,19542,237.0,"[17547, 19542]"
11461,11861,300.0,"[11461, 11861]"
19180,10270,43.0,"[19180, 10270]"
16991,19171,119.0,"[16991, 19171]"
12985,18577,188.0,"[12985, 18577]"
14005,15747,1.0,"[14005, 15747]"
10044,13183,300.0,"[10044, 13183]"
16142,16366,1.0,"[16142, 17039, 16366]"
15916,10708,1.0,"[15916, 10708]"
13503,13431,1.0,"[13503, 13431]"
18978,11168,1.0,"[18978, 11168]"
13503,11168,185.0,"[13503, 11168]"
12627,10659,1.0,"[12627, 10659]"
16219,15973,1.0,"[16219, 15973]"
16991,14076,1.0,"[16991, 14076]"
16053,17312,146.0,"[16053, 17312]"
10270,12663,1.0,"[10270, 15506, 12663]"
13503,19469,300.0,"[13503, 19469]"
16053,13503,122.0,"[16053, 13503]"
19311,14724,1.0,"[19311, 14724]"
15872,10751,300.0,"[15872, 10751]"
18863,13651,1.0,"[18863, 13651]"
10270,13856,97.0,"[10270, 13856]"
10708,17535,1.0,"[10708, 15916, 17535]"
17547,13856,58.0,"[17547, 13856]"
12627,15747,1.0,"[12627, 15747]"
15872,15286,300.0,"[15872, 15286]"
17770,15262,300.0,"[17770, 15262]"
12364,11267,300.0,"[12364, 11267]"
10270,13578,300.0,"[10270, 13578]"
10270,19185,1.0,"[10270, 19185]"
19956,16219,300.0,"[19956, 16219]"
10708,13183,1.0,"[10708, 14252, 13183]"
18863,13503,1.0,"[18863, 16991, 13503]"
12985,19956,300.0,"[12985, 19956]"
12627,15204,1.0,"[12627, 15204]"
19311,17822,300.0,"[19311, 17822]"
13179,12985,300.0,"[13179, 14005, 12985]"
19539,10570,1.0,"[19539, 15747, 10570]"
17822,15872,1.0,"[17822, 15872]"
10044,13856,1.0,"[10044, 13856]"
11461,13179,163.0,"[11461, 13179]"
16991,16262,253.0,"[16991, 16262]"
19921,13101,300.0,"[19921, 13101]"
10303,14724,1.0,"[10303, 10044, 14724]"
12627,18577,95.0,"[12627, 18577]"
10708,19311,239.0,"[10708, 19311]"
16262,17784,300.0,"[16262, 17784]"
14724,19171,1.0,"[14724, 19542, 19171]"
18144,17784,300.0,"[18144, 17784]"
16219,13578,300.0,"[16219, 13578]"
16262,12985,1.0,"[16262, 12985]"
13503,13101,108.0,"[13503, 13101]"
15973,11568,201.0,"[15973, 11568]"
14005,16366,21.0,"[14005, 16366]"
10270,18144,1.0,"[10270, 16219, 18144]"
16133,12985,300.0,"[16133, 12985]"
10270,15028,300.0,"[10270, 15028]"
12364,16366,6.0,"[12364, 16366]"
10303,15286,1.0,"[10303, 15973, 15286]"
15872,13101,145.0,"[15872, 13101]"
10044,13503,1.0,"[10044, 13503]"
17547,17784,111.0,"[17547, 17784]"
15872,10327,50.0,"[15872, 10327]"
14724,17822,5.0000001,"[14724, 17822]"
14724,17822,294.999999,"[14724, 15872, 17822]"
19311,19542,300.0,"[19311, 19542]"
19311,19185,300.0,"[19311, 19185]"
11461,15206,1.0,"[11461, 15206]"
17312,10270,300.0,"[17312, 10270]"
10270,11568,300.0,"[10270, 11568]"
18863,10376,300.0,"[18863, 10376]"
18144,12663,1.0,"[18144, 12663]"
11461,13474,229.0,"[11461, 13474]"
16053,11168,1.0,"[16053, 11168]"
15973,14070,16.0,"[15973, 14070]"
10270,15206,98.0,"[10270, 15206]"
15973,10659,270.0,"[15973, 10659]"
15973,10659,30.0,"[15973, 10178, 10659]"
14005,12663,185.0,"[14005, 12663]"
10178,10270,300.0,"[10178, 10270]"
19371,12985,1.0,"[19371, 15401, 12985]"
16053,18476,1.0,"[16053, 18476]"
14724,12952,1.0,"[14724, 18476, 12952]"
15973,13183,300.0,"[15973, 13183]"
16991,16366,163.0,"[16991, 16366]"
